,x,y,key
251,-241.58218,153.34131,0
252,32.26258,-73.42953,0
253,165.76973,108.28588,1
254,28.433527,132.06726,1
255,232.99193,-36.070587,0
256,-3.9578621,142.55081,1
257,-92.622086,166.77888,1
258,30.090088,63.452404,0
259,-54.981712,-235.64912,2
260,-92.622086,166.77888,1
261,-241.58218,153.34131,0
262,30.090088,63.452404,0
263,-95.35448,130.64487,1
264,-43.0807,75.35527,1
265,140.80933,-110.446465,0
266,37.82592,46.30851,0
267,-13.661384,1.3263165,0
268,-189.6326,11.731096,2
269,117.232735,75.491974,1
270,-130.90567,-91.58331,2
271,-91.61028,63.691254,2
272,-95.35448,130.64487,1
273,114.566025,65.79323,1
274,74.29623,50.174416,1
275,-1.7588493,7.8285747,0
276,144.59251,44.445087,1
277,-103.19258,216.70862,1
278,144.59251,44.445087,1
279,34.27739,148.2467,1
280,-92.622086,166.77888,1
281,-114.60747,133.09663,1
282,9.718669,125.84756,1
283,72.03616,67.76539,1
284,165.76973,108.28588,1
285,165.76973,108.28588,1
286,-254.47603,-47.056934,2
287,-254.47603,-47.056934,2
288,-92.622086,166.77888,1
289,32.26258,-73.42953,0
290,-107.10422,114.422714,1
291,48.48911,146.77309,1
292,48.48911,146.77309,1
293,-95.35448,130.64487,1
294,-176.0727,6.7326665,2
295,-53.78029,59.373962,1
296,14.688593,146.79036,1
297,37.82592,46.30851,0
298,72.03616,67.76539,1
299,30.090088,63.452404,0
300,-3.9578621,142.55081,1
301,28.433527,132.06726,1
302,48.412514,130.1597,1
303,-11.343651,87.28065,1
304,-83.20819,191.8318,1
305,-107.10422,114.422714,1
306,-92.622086,166.77888,1
307,32.26258,-73.42953,0
308,17.32167,55.26565,0
309,144.65196,128.97922,1
310,-43.0807,75.35527,1
311,-254.47603,-47.056934,2
312,-43.0807,75.35527,1
313,-3.9578621,142.55081,1
314,-90.87422,115.57674,1
315,-27.197954,85.433426,1
316,-2.8081388,159.79759,1
317,-268.17865,-21.23054,2
318,9.718669,125.84756,1
319,137.76785,101.119286,1
320,137.76785,101.119286,1
321,-92.622086,166.77888,1
322,25.440838,160.94809,1
323,165.76973,108.28588,1
324,-92.622086,166.77888,1
325,-36.246754,58.52845,1
326,165.76973,108.28588,1
327,-92.622086,166.77888,1
328,14.688593,146.79036,1
329,-241.58218,153.34131,0
330,28.433527,132.06726,1
331,-114.60747,133.09663,1
332,-241.58218,153.34131,0
333,17.890774,18.451984,0
334,-114.60747,133.09663,1
335,144.65196,128.97922,1
336,100.414185,-108.4332,0
337,-0.10968953,-71.3166,0
338,28.433527,132.06726,1
339,82.471375,-112.327965,0
340,19.67188,-98.026535,0
341,-176.0727,6.7326665,2
342,-43.0807,75.35527,1
343,111.55329,48.18416,1
344,88.14574,60.88365,1
345,-83.20819,191.8318,1
346,100.27096,57.817104,1
347,-36.246754,58.52845,1
348,-120.888374,210.90712,1
349,-102.03579,199.05501,1
350,-10.715404,-99.42543,0
351,27.853022,-3.9944253,0
352,-107.13016,67.1905,1
353,172.44452,136.57478,1
354,-114.60747,133.09663,1
355,9.718669,125.84756,1
356,-102.03579,199.05501,1
357,25.440838,160.94809,1
358,37.82592,46.30851,0
359,-10.715404,-99.42543,0
360,111.55329,48.18416,1
361,-75.8886,74.65008,1
362,-241.58218,153.34131,0
363,17.890774,18.451984,0
364,25.440838,160.94809,1
365,9.343822,166.8822,1
366,-92.622086,166.77888,1
367,-83.20819,191.8318,1
368,-124.760796,116.84282,1
369,165.76973,108.28588,1
370,-43.0807,75.35527,1
371,-124.760796,116.84282,1
372,165.76973,108.28588,1
373,165.76973,108.28588,1
374,38.448437,117.13627,1
375,97.15857,147.6238,1
376,14.688593,146.79036,1
377,112.8589,-92.33373,0
378,14.688593,146.79036,1
379,-92.622086,166.77888,1
380,-241.58218,153.34131,0
381,14.688593,146.79036,1
382,37.82592,46.30851,0
383,-241.58218,153.34131,0
384,-268.17865,-21.23054,2
385,-0.10968953,-71.3166,0
386,17.890774,18.451984,0
387,72.03616,67.76539,1
388,-0.10968953,-71.3166,0
389,123.74746,38.750393,1
390,-105.903656,-10.258615,0
391,-241.58218,153.34131,0
392,165.76973,108.28588,1
393,-241.58218,153.34131,0
394,-0.10968953,-71.3166,0
395,-241.58218,153.34131,0
396,165.76973,108.28588,1
397,-92.622086,166.77888,1
398,-254.47603,-47.056934,2
399,-43.0807,75.35527,1
400,-254.47603,-47.056934,2
401,-219.51025,-4.686197,2
402,-208.95064,-5.6617103,2
403,32.26258,-73.42953,0
404,-182.15656,-41.91586,2
405,15.656754,42.80683,0
406,-241.58218,153.34131,0
407,-69.795784,-214.4637,2
408,19.67188,-98.026535,0
409,-11.003078,-279.35043,2
410,-223.87985,5.12073,2
411,-130.88443,-42.389015,2
412,-152.76903,-112.63406,2
413,-11.003078,-279.35043,2
414,-54.981712,-235.64912,2
415,-197.11647,-190.38736,2
416,-69.795784,-214.4637,2
417,-105.903656,-10.258615,0
418,-205.76587,-44.637043,2
419,-69.795784,-214.4637,2
420,-59.17089,-183.03828,2
421,-54.981712,-235.64912,2
422,-197.11647,-190.38736,2
423,-42.131786,-186.63252,2
424,-118.54442,-65.922226,2
425,-189.6326,11.731096,2
426,-197.11647,-190.38736,2
427,-143.57268,-65.01826,2
428,-69.795784,-214.4637,2
429,-72.544205,-194.58035,2
430,7.4464865,-294.2799,2
431,-197.11647,-190.38736,2
432,-241.58218,153.34131,0
433,-254.47603,-47.056934,2
434,-254.47603,-47.056934,2
435,-184.58932,-168.2918,2
436,-10.715404,-99.42543,0
437,-10.715404,-99.42543,0
438,-254.47603,-47.056934,2
439,-254.47603,-47.056934,2
440,-241.58218,153.34131,0
441,-241.58218,153.34131,0
442,12.96588,-273.6536,2
443,-166.80373,22.857288,2
444,-254.47603,-47.056934,2
445,-184.58932,-168.2918,2
446,-130.88443,-42.389015,2
447,-179.07144,-204.86511,2
448,-0.10968953,-71.3166,0
449,-105.903656,-10.258615,0
450,-254.47603,-47.056934,2
451,-0.10968953,-71.3166,0
452,-219.86804,-185.12099,2
453,-0.10968953,-71.3166,0
454,-184.58932,-168.2918,2
455,-105.903656,-10.258615,0
456,-254.47603,-47.056934,2
457,-241.58218,153.34131,0
458,37.82592,46.30851,0
459,-254.47603,-47.056934,2
460,-241.58218,153.34131,0
461,-241.58218,153.34131,0
462,-21.711746,-260.08182,2
463,12.96588,-273.6536,2
464,12.96588,-273.6536,2
465,-130.88443,-42.389015,2
466,-11.003078,-279.35043,2
467,-187.88814,-4.9780693,2
468,-59.17089,-183.03828,2
469,-147.78392,-102.74864,2
470,-54.981712,-235.64912,2
471,-155.31917,-120.21328,2
472,-11.003078,-279.35043,2
473,-11.003078,-279.35043,2
474,-126.585594,13.948603,2
475,144.65196,128.97922,1
476,-140.24911,-79.58147,2
477,-213.65176,4.998081,2
478,-54.981712,-235.64912,2
479,12.96588,-273.6536,2
480,112.8589,-92.33373,0
481,-56.58328,-9.413829,0
482,-184.58932,-168.2918,2
483,-254.47603,-47.056934,2
484,-92.84652,-26.861683,0
485,82.5888,-99.40301,0
486,-11.003078,-279.35043,2
487,-254.47603,-47.056934,2
488,-11.003078,-279.35043,2
489,-184.58932,-168.2918,2
490,-127.17602,-79.71459,2
491,-11.003078,-279.35043,2
492,-0.10968953,-71.3166,0
493,-254.47603,-47.056934,2
494,127.888084,-79.09706,0
495,-69.795784,-214.4637,2
496,-184.58932,-168.2918,2
497,7.4464865,-294.2799,2
498,-170.7414,-186.65306,2
499,-166.80373,22.857288,2
500,-184.58932,-168.2918,2
501,-1.3598684,-257.40704,2
502,-241.58218,153.34131,0
503,-200.015,-12.801496,2
504,-115.73205,-38.089905,2
505,-254.47603,-47.056934,2
506,-0.10968953,-71.3166,0
507,-54.981712,-235.64912,2
508,-11.003078,-279.35043,2
509,-54.981712,-235.64912,2
510,-0.10968953,-71.3166,0
511,-184.58932,-168.2918,2
512,-11.003078,-279.35043,2
513,-11.003078,-279.35043,2
514,-1.3598684,-257.40704,2
515,-170.7414,-186.65306,2
516,-268.17865,-21.23054,2
517,-254.47603,-47.056934,2
518,19.67188,-98.026535,0
519,-241.58218,153.34131,0
520,-74.333244,57.946445,1
521,-74.333244,57.946445,1
522,-254.47603,-47.056934,2
523,-268.17865,-21.23054,2
524,-15.6196165,76.54869,1
525,-105.903656,-10.258615,0
526,-268.17865,-21.23054,2
527,-56.58328,-9.413829,0
528,-1.3598684,-257.40704,2
529,18.591501,-47.611225,0
530,18.591501,-47.611225,0
531,-69.795784,-214.4637,2
532,-11.003078,-279.35043,2
533,-241.58218,153.34131,0
534,7.4464865,-294.2799,2
535,32.26258,-73.42953,0
536,-11.592448,-301.65048,2
537,-268.17865,-21.23054,2
538,-197.11647,-190.38736,2
539,-268.17865,-21.23054,2
540,-10.715404,-99.42543,0
541,-80.89129,-11.776492,0
542,-54.981712,-235.64912,2
543,-219.86804,-185.12099,2
544,-130.86488,-63.492535,2
545,-241.58218,153.34131,0
546,-130.86488,-63.492535,2
547,-142.4624,-93.60388,2
548,-116.11517,-51.53431,2
549,-54.981712,-235.64912,2
550,-197.11647,-190.38736,2
551,-72.544205,-194.58035,2
552,-197.11647,-190.38736,2
553,-187.88814,-4.9780693,2
554,-56.58328,-9.413829,0
555,-105.903656,-10.258615,0
556,-197.11647,-190.38736,2
557,-197.11647,-190.38736,2
558,-268.17865,-21.23054,2
559,-208.97612,-168.12296,2
560,-69.795784,-214.4637,2
561,-10.715404,-99.42543,0
562,-268.17865,-21.23054,2
563,-54.981712,-235.64912,2
564,-254.47603,-47.056934,2
565,-1.3598684,-257.40704,2
566,-140.96371,-54.693745,2
567,165.76973,108.28588,1
568,-241.58218,153.34131,0
569,-197.11647,-190.38736,2
570,-268.17865,-21.23054,2
571,165.76973,108.28588,1
572,-197.11647,-190.38736,2
573,-268.17865,-21.23054,2
574,-241.58218,153.34131,0
575,-52.464535,-199.38593,2
576,-197.11647,-190.38736,2
577,232.99193,-36.070587,0
578,-208.97612,-168.12296,2
579,-208.97612,-168.12296,2
580,-92.84652,-26.861683,0
581,-268.17865,-21.23054,2
582,-52.464535,-199.38593,2
583,12.96588,-273.6536,2
584,-0.10968953,-71.3166,0
585,261.78873,-72.93174,0
586,-105.903656,-10.258615,0
587,-52.464535,-199.38593,2
588,-46.106247,-29.006088,0
589,232.99193,-36.070587,0
590,-199.66415,-152.07227,2
591,-268.17865,-21.23054,2
592,-179.07144,-204.86511,2
593,-170.7414,-186.65306,2
594,261.78873,-72.93174,0
595,-241.58218,153.34131,0
596,261.78873,-72.93174,0
597,-105.903656,-10.258615,0
598,-140.24911,-79.58147,2
599,-92.84652,-26.861683,0
