,Accommodation,City Life,Clubs and Societies,Course and Lecturers,Facilities,Job Prospects,OVERALL UNIVERSITY RATING,Student Support,Students' Union,Uni Facilities,_id,college,date
78,5.0,5.0,3.0,3,4.005865102639296,4.0,2,2,5.0,3.0,5c75db33c0bfe17384b4d528,"Northumbria University, Newcastle",Feb 19
79,3.8051192553810353,5.0,3.7542785366619564,3,4.005865102639296,4.0,4,3,3.7063261752756818,4.0,5c75db33c0bfe17384b4d531,"Northumbria University, Newcastle",Feb 19
80,3.8051192553810353,3.0,1.0,4,4.005865102639296,4.0,3,5,5.0,2.0,5c75db35c0bfe17384b4d53a,"Northumbria University, Newcastle",Feb 19
81,3.8051192553810353,5.0,4.0,4,4.005865102639296,4.0,4,4,4.0,4.0,5c75db35c0bfe17384b4d543,"Northumbria University, Newcastle",Feb 19
82,3.8051192553810353,5.0,5.0,5,4.005865102639296,4.0,5,4,4.0,4.0,5c75db35c0bfe17384b4d54c,"Northumbria University, Newcastle",Feb 19
83,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.005865102639296,4.0,4,4,4.0,4.0,5c75db35c0bfe17384b4d555,Lancaster University,Feb 19
84,3.8051192553810353,4.0,4.0,4,4.005865102639296,5.0,4,4,4.0,3.0,5c75db35c0bfe17384b4d55e,"Northumbria University, Newcastle",Feb 19
85,3.8051192553810353,3.0,3.7542785366619564,4,4.005865102639296,4.0,4,4,3.7063261752756818,3.0,5c75db35c0bfe17384b4d565,UCFB,Feb 19
86,3.8051192553810353,5.0,5.0,4,4.005865102639296,5.0,5,5,3.0,5.0,5c75db35c0bfe17384b4d56e,University for the Creative Arts,Feb 19
87,3.8051192553810353,4.0,5.0,4,4.005865102639296,5.0,5,5,5.0,5.0,5c75db35c0bfe17384b4d577,Lancaster University,Feb 19
88,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db35c0bfe17384b4d581,"Northumbria University, Newcastle",Feb 19
89,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db35c0bfe17384b4d58a,Lancaster University,Feb 19
90,3.8051192553810353,5.0,5.0,4,4.005865102639296,5.0,5,5,5.0,4.0,5c75db38c0bfe17384b4d593,"Northumbria University, Newcastle",Feb 19
91,3.8051192553810353,5.0,5.0,4,4.005865102639296,5.0,5,5,5.0,5.0,5c75db38c0bfe17384b4d59c,Swansea University,Feb 19
92,3.8051192553810353,5.0,4.0,4,4.005865102639296,4.0,5,5,4.0,3.0,5c75db38c0bfe17384b4d5a5,"Northumbria University, Newcastle",Feb 19
93,3.8051192553810353,1.0,4.0,3,4.005865102639296,4.0,3,3,4.0,4.0,5c75db38c0bfe17384b4d5ae,University of Hull,Feb 19
94,3.8051192553810353,2.0,3.0,4,4.005865102639296,4.0,4,3,3.0,3.0,5c75db38c0bfe17384b4d5b7,University for the Creative Arts,Feb 19
95,3.8051192553810353,5.0,5.0,4,4.005865102639296,4.0,5,5,5.0,5.0,5c75db38c0bfe17384b4d5c0,Lancaster University,Feb 19
96,4.0,4.0,2.0,3,4.005865102639296,5.0,5,4,2.0,5.0,5c75db38c0bfe17384b4d5ca,Lancaster University,Feb 19
97,3.8051192553810353,5.0,5.0,1,4.005865102639296,5.0,5,5,1.0,5.0,5c75db38c0bfe17384b4d5d3,"Northumbria University, Newcastle",Feb 19
98,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db38c0bfe17384b4d5dc,University of Glasgow,Feb 19
99,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.0,5.0,5,5,3.7063261752756818,4.059789829689576,5c75db38c0bfe17384b4d5e2,Askham Bryan College,Feb 19
100,3.8051192553810353,5.0,4.0,4,4.005865102639296,3.0,5,3,3.0,5.0,5c75db3ac0bfe17384b4d5eb,"Northumbria University, Newcastle",Feb 19
101,4.0,4.0,5.0,5,4.005865102639296,4.0,4,4,4.0,4.0,5c75db3ac0bfe17384b4d5f5,Lancaster University,Feb 19
102,5.0,2.0,4.0,4,4.005865102639296,5.0,4,5,5.0,5.0,5c75db3ac0bfe17384b4d5ff,Lancaster University,Feb 19
103,3.8051192553810353,3.0,4.0,3,4.005865102639296,3.0,3,2,5.0,2.0,5c75db3ac0bfe17384b4d608,"Northumbria University, Newcastle",Feb 19
104,5.0,4.0,5.0,4,4.005865102639296,5.0,5,5,4.0,4.0,5c75db3ac0bfe17384b4d612,Lancaster University,Feb 19
105,3.8051192553810353,5.0,4.0,4,4.005865102639296,4.0,5,4,2.0,5.0,5c75db3ac0bfe17384b4d61b,"Northumbria University, Newcastle",Feb 19
106,3.8051192553810353,3.0,3.7542785366619564,3,4.005865102639296,4.0,4,3,4.0,4.0,5c75db3ac0bfe17384b4d624,Lancaster University,Feb 19
107,3.0,5.0,5.0,3,4.005865102639296,4.0,5,5,3.0,2.0,5c75db3ac0bfe17384b4d62e,Lancaster University,Feb 19
108,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db3ac0bfe17384b4d637,Swansea University,Feb 19
109,3.8051192553810353,5.0,3.0,4,4.005865102639296,4.0,5,4,1.0,4.0,5c75db3ac0bfe17384b4d640,"Northumbria University, Newcastle",Feb 19
110,3.8051192553810353,5.0,5.0,3,4.005865102639296,4.0,4,2,5.0,2.0,5c75db3dc0bfe17384b4d649,University of Glasgow,Feb 19
111,3.8051192553810353,4.0,2.0,4,4.005865102639296,3.0,3,2,1.0,2.0,5c75db3dc0bfe17384b4d652,"Northumbria University, Newcastle",Feb 19
112,3.8051192553810353,5.0,3.7542785366619564,4,4.005865102639296,5.0,4,4,4.0,3.0,5c75db3dc0bfe17384b4d65b,Lancaster University,Feb 19
113,5.0,1.0,3.0,4,4.005865102639296,4.0,4,5,3.0,4.0,5c75db3dc0bfe17384b4d665,Lancaster University,Feb 19
114,3.8051192553810353,4.0,4.0,1,4.005865102639296,3.0,2,3,4.0,4.0,5c75db3dc0bfe17384b4d66e,"Northumbria University, Newcastle",Feb 19
115,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,1.0,5.0,5c75db3dc0bfe17384b4d678,Lancaster University,Feb 19
116,3.8051192553810353,3.0,5.0,3,4.005865102639296,3.0,4,4,3.0,3.0,5c75db3dc0bfe17384b4d681,"Northumbria University, Newcastle",Feb 19
117,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db3dc0bfe17384b4d68a,Lancaster University,Feb 19
118,3.0,2.0,4.0,3,4.005865102639296,3.0,1,2,2.0,3.0,5c75db3dc0bfe17384b4d694,Lancaster University,Feb 19
119,3.8051192553810353,1.0,2.0,3,4.005865102639296,4.0,3,1,3.0,2.0,5c75db3dc0bfe17384b4d69d,Bridgend College,Feb 19
120,4.0,3.0,3.0,3,4.005865102639296,4.0,4,5,4.0,4.0,5c75db40c0bfe17384b4d6a7,Lancaster University,Feb 19
121,3.8051192553810353,4.1052366565961735,3.7542785366619564,3,4.005865102639296,4.0,3,3,4.0,4.0,5c75db40c0bfe17384b4d6b0,Lancaster University,Feb 19
122,3.8051192553810353,3.0,5.0,5,4.005865102639296,5.0,5,5,4.0,5.0,5c75db40c0bfe17384b4d6b9,Lancaster University,Feb 19
123,3.8051192553810353,4.0,5.0,4,4.005865102639296,5.0,5,5,5.0,4.0,5c75db40c0bfe17384b4d6c2,Swansea University,Feb 19
124,3.8051192553810353,4.0,3.0,4,4.005865102639296,5.0,4,4,5.0,4.0,5c75db40c0bfe17384b4d6cb,Lancaster University,Feb 19
125,3.8051192553810353,4.0,5.0,4,4.005865102639296,5.0,4,4,5.0,5.0,5c75db40c0bfe17384b4d6d4,Lancaster University,Feb 19
126,3.8051192553810353,4.1052366565961735,5.0,4,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db40c0bfe17384b4d6dd,Lancaster University,Feb 19
127,4.0,5.0,5.0,5,4.005865102639296,3.0,5,3,3.0,4.0,5c75db40c0bfe17384b4d6e7,Lancaster University,Feb 19
128,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db40c0bfe17384b4d6f0,Lancaster University,Feb 19
129,3.8051192553810353,3.0,3.7542785366619564,4,4.005865102639296,4.0,5,5,3.7063261752756818,5.0,5c75db40c0bfe17384b4d6f7,Futureworks,Feb 19
130,4.0,3.0,4.0,4,4.005865102639296,4.0,5,3,3.0,4.0,5c75db42c0bfe17384b4d701,Lancaster University,Feb 19
131,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db42c0bfe17384b4d70a,"Northumbria University, Newcastle",Feb 19
132,3.8051192553810353,5.0,5.0,4,4.005865102639296,4.0,5,5,3.0,4.0,5c75db42c0bfe17384b4d713,Lancaster University,Feb 19
133,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db42c0bfe17384b4d71c,University of Glasgow,Feb 19
134,5.0,5.0,4.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db42c0bfe17384b4d726,"Northumbria University, Newcastle",Feb 19
135,3.8051192553810353,4.0,3.0,3,4.005865102639296,4.0,4,3,3.0,4.0,5c75db42c0bfe17384b4d72f,"Northumbria University, Newcastle",Feb 19
136,4.0,3.0,3.0,3,4.005865102639296,4.0,4,2,2.0,5.0,5c75db42c0bfe17384b4d739,Lancaster University,Feb 19
137,5.0,5.0,5.0,5,4.005865102639296,5.0,5,3,4.0,4.0,5c75db42c0bfe17384b4d743,Lancaster University,Feb 19
138,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db42c0bfe17384b4d74c,Bridgend College,Feb 19
139,3.0,5.0,3.0,4,4.005865102639296,4.0,5,4,3.7063261752756818,4.0,5c75db42c0bfe17384b4d756,University of Glasgow,Feb 19
140,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.005865102639296,5.0,4,5,4.0,4.0,5c75db45c0bfe17384b4d75f,Bridgend College,Feb 19
141,3.8051192553810353,5.0,5.0,5,4.005865102639296,4.0,5,5,4.0,4.0,5c75db45c0bfe17384b4d768,Swansea University,Feb 19
142,4.0,3.0,3.0,4,4.005865102639296,5.0,4,5,3.0,4.0,5c75db45c0bfe17384b4d772,Lancaster University,Feb 19
143,3.8051192553810353,2.0,3.0,4,4.005865102639296,5.0,3,4,4.0,4.0,5c75db45c0bfe17384b4d77b,Bridgend College,Feb 19
144,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db45c0bfe17384b4d785,Lancaster University,Feb 19
145,5.0,3.0,5.0,4,4.005865102639296,3.0,5,5,1.0,4.0,5c75db45c0bfe17384b4d78f,Lancaster University,Feb 19
146,4.0,2.0,5.0,3,4.005865102639296,4.0,4,3,5.0,5.0,5c75db45c0bfe17384b4d799,Lancaster University,Feb 19
147,3.0,1.0,5.0,4,4.005865102639296,4.0,5,4,2.0,5.0,5c75db45c0bfe17384b4d7a3,Lancaster University,Feb 19
148,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db45c0bfe17384b4d7ac,The University of Law,Feb 19
149,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.005865102639296,5.0,5,5,5.0,4.0,5c75db45c0bfe17384b4d7b5,University of Cumbria,Feb 19
150,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db47c0bfe17384b4d7bc,UCFB,Feb 19
151,3.8051192553810353,4.1052366565961735,3.7542785366619564,3,4.005865102639296,4.0,3,4,3.7063261752756818,4.0,5c75db47c0bfe17384b4d7c5,Bridgend College,Feb 19
152,3.8051192553810353,5.0,5.0,3,4.005865102639296,4.0,4,3,3.7063261752756818,4.0,5c75db47c0bfe17384b4d7ce,University of Glasgow,Feb 19
153,2.0,3.0,5.0,3,4.005865102639296,4.0,3,3,3.0,3.0,5c75db47c0bfe17384b4d7d8,University of Hull,Feb 19
154,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.0,4.0,5,5,3.7063261752756818,4.059789829689576,5c75db47c0bfe17384b4d7de,Askham Bryan College,Feb 19
155,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.0,5.0,5,5,3.7063261752756818,4.059789829689576,5c75db47c0bfe17384b4d7e4,Plumpton College,Feb 19
156,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,4.0,5c75db47c0bfe17384b4d7ed,Bridgend College,Feb 19
157,3.8051192553810353,3.0,5.0,5,4.005865102639296,5.0,5,3,5.0,5.0,5c75db47c0bfe17384b4d7f6,Loughborough University,Feb 19
158,3.8051192553810353,4.0,3.0,5,4.005865102639296,4.0,5,4,3.0,4.0,5c75db47c0bfe17384b4d7ff,University of the Arts London,Feb 19
159,3.8051192553810353,2.0,2.0,4,4.005865102639296,4.0,5,3,1.0,3.0,5c75db47c0bfe17384b4d808,University of the Arts London,Feb 19
160,3.8051192553810353,4.0,3.0,5,4.005865102639296,3.0,4,5,3.0,3.0,5c75db4ac0bfe17384b4d811,University of the Arts London,Feb 19
161,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,4.005865102639296,3.0,4,4,2.0,3.0,5c75db4ac0bfe17384b4d81a,Bridgend College,Feb 19
162,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,5.0,5.0,5,5,3.7063261752756818,4.059789829689576,5c75db4ac0bfe17384b4d820,Leeds City College,Feb 19
163,3.8051192553810353,5.0,3.0,5,4.005865102639296,5.0,5,5,3.0,3.0,5c75db4ac0bfe17384b4d829,University of the Arts London,Feb 19
164,3.8051192553810353,4.0,2.0,4,4.005865102639296,4.0,4,4,4.0,4.0,5c75db4ac0bfe17384b4d832,University of the Arts London,Feb 19
165,3.8051192553810353,5.0,3.7542785366619564,4,4.005865102639296,5.0,4,5,5.0,5.0,5c75db4ac0bfe17384b4d83b,University of Glasgow,Feb 19
