,0,1,2,3,4,5,6,7,8,9,10,Date
101,12:53 AM,"49 
F","44 
F","83 
%",NE,"16 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
102,2:34 AM,"49 
F","44 
F","83 
%",NE,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
103,2:53 AM,"49 
F","44 
F","83 
%",NE,"16 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
104,3:53 AM,"49 
F","44 
F","83 
%",NE,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
105,4:27 AM,"48 
F","44 
F","86 
%",NE,"12 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
106,4:53 AM,"47 
F","43 
F","86 
%",NNE,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
107,5:27 AM,"46 
F","43 
F","89 
%",NNE,"12 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
108,5:53 AM,"46 
F","44 
F","93 
%",ENE,"10 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
109,6:07 AM,"46 
F","44 
F","93 
%",NNE,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",T-Storm,2018-05-12
110,6:22 AM,"46 
F","44 
F","93 
%",N,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
111,6:53 AM,"46 
F","43 
F","89 
%",NNE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
112,7:53 AM,"46 
F","44 
F","93 
%",NNE,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
113,8:12 AM,"46 
F","44 
F","93 
%",ENE,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",T-Storm,2018-05-12
114,8:27 AM,"46 
F","44 
F","93 
%",NE,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
115,8:53 AM,"47 
F","45 
F","93 
%",NNE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-05-12
116,9:53 AM,"51 
F","48 
F","89 
%",N,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
